drill bit,mean Thrust,mean torque,thrust_non_zero,Torque_non_zero,degradation,Torque_zero,Area,max Thrust,max Torque,RUL
d5h3,247.9552879,16.00843633,3.1915,0.33244,0.143282216,1.9946,5552.505485,489.29,31.914,16
d5h4,246.4656444,16.51268174,7.4468,0.33244,0.190661479,0.99731,6085.405304,515.28,34.574,15
d5h5,253.4612981,16.66346264,11.702,0.33244,0.238040742,0.99731,6085.405304,507.99,33.244,14
d5h6,256.8964707,17.0741851,22.34,0.33244,0.28564889,2.6595,6402.526957,513.82,36.901,13
d5h7,248.9080133,16.68362052,19.149,0.33244,0.333714809,1.3298,6452.017071,509.44,34.574,12
d5h8,257.1644785,17.36469962,8.5106,0.33244,0.381551843,2.3271,6574.877765,510.9,37.565,11
d5h9,260.0896066,17.07038745,20.213,0.33244,0.430075532,2.6595,6852.665034,534.24,39.228,10
d5h10,254.8373712,17.21087361,1.0638,0.33244,0.480201419,0.66488,6810.805821,570.7,40.225,9
d5h11,278.6128816,17.73396386,14.894,0.33244,0.531242847,0.66488,7773.656663,720.32,82.777,8
d5h12,277.9835333,18.35316714,1.0638,0.66488,0.584115358,0.66488,8943.780077,401.01,28.59,7
d5h13,283.715604,18.81365978,1.0638,0.66488,0.635843442,1.3298,8866.776201,408.13,28.922,6
d5h14,275.8366626,18.3661406,2.1277,0.66488,0.689631495,0.66488,9123.976379,422.36,30.917,5
d5h15,287.7807509,19.29598066,1.0638,0.66488,0.74181735,1.3298,9094.032547,426.64,30.252,4
d5h16,292.5202775,20.05903414,7.4468,0.99731,0.793774319,1.3298,9409.1378,433.76,30.584,3
d5h17,294.9675763,19.7504872,2.1277,0.99731,0.847791257,0.99731,9884.089292,429.48,30.917,2
d5h18,310.3814571,21.15311769,15.957,0.66488,0.902265965,1.3298,11612.46056,430.91,30.917,1
d5h19,405.8465281,44.94214787,18.085,1.3298,1,1.6622,28170.16282,442.3,29.919,0
d6h1,188.5268505,11.13249459,1.0638,0.99731,0.066302281,0.99731,2885.55453,276.91,25.93,17
d6h2,247.5200163,15.65798144,1.0638,0.66488,0.115969582,1.3298,5636.853279,497.83,33.576,16
d6h3,264.8876415,16.81320146,9.5745,0.33244,0.16634981,1.3298,6775.839837,521.11,34.906,15
d6h4,271.9797924,17.12293204,15.957,0.33244,0.216492395,2.6595,7150.64917,521.11,34.906,14
d6h5,274.1960953,17.30886128,10.638,0.99731,0.266634981,1.9946,7150.64917,540.07,33.576,13
d6h6,270.2789601,16.80137751,2.1277,0.33244,0.317252852,1.6622,7204.030689,545.91,34.906,12
d6h7,267.1653521,16.9083724,19.149,0.66488,0.368821293,1.6622,7120.447126,541.53,34.906,11
d6h8,277.4862139,17.02821769,7.4468,0.33244,0.420152091,1.6622,7330.398637,547.37,36.236,10
d6h9,277.2121146,17.54707052,14.894,0.33244,0.470532319,2.9919,7298.981262,542.99,37.898,9
d6h10,289.5084014,18.65192931,7.4468,0.99731,0.521863118,1.6622,8270.9197,592.58,62.831,8
d6h11,298.1847473,19.02902318,1.0638,0.66488,0.574144487,2.3271,9207.783714,408.13,30.252,7
d6h12,288.0301137,18.25771762,1.0638,0.66488,0.628089354,1.3298,8997.411485,453.69,30.917,6
d6h13,301.4093145,19.53414353,5.3192,0.66488,0.680608365,2.6595,9992.149567,466.5,30.584,5
d6h14,306.4008661,19.64243624,3.1915,0.99731,0.733127376,2.3271,10108.87399,459.38,29.919,4
d6h15,306.0007161,19.96713453,17.021,1.3298,0.786121673,2.3271,10222.67802,475.05,30.584,3
d6h16,307.5467759,20.01045307,3.1915,1.3298,0.840304183,1.6622,10123.7189,467.93,30.584,2
d6h17,308.8741427,20.82201674,13.83,1.3298,0.894249049,1.9946,10389.93032,477.89,29.587,1
d6h18,183.1104119,27.19265955,1.0638,1.9946,1,11.968,19701.22361,472.2,30.584,0
d7h1,162.1138755,10.37806174,18.085,0.66488,0.060020141,0.66488,3152.667345,281.45,24.6,20
d7h2,218.754156,14.38497489,12.766,0.33244,0.105337362,0.99731,5285.82123,449.42,30.584,19
d7h3,240.9791698,15.8085894,2.1277,0.33244,0.148640483,0.66488,5963.438221,469.35,31.914,18
d7h4,232.7298224,15.76280991,1.0638,0.99731,0.191742195,1.6622,5226.24303,466.5,31.914,17
d7h5,240.8983333,16.31600779,1.0638,0.99731,0.234843907,0.99731,5226.24303,496.4,35.571,16
d7h6,245.1543273,16.72503986,2.1277,0.99731,0.278348439,0.99731,6353.556781,473.62,33.909,15
d7h7,242.70302,16.5418285,1.0638,0.99731,0.32265861,1.3298,6876.935769,509.44,33.909,14
d7h8,243.5796877,16.80404763,1.0638,0.99731,0.366767372,1.3298,6620.65754,490.71,33.909,13
d7h9,252.4574743,16.85674711,6.383,0.99731,0.410674723,0.99731,6868.785996,516.74,35.238,12
d7h10,258.4806481,17.71000259,3.1915,1.3298,0.454179255,1.9946,7131.938652,541.53,37.565,11
d7h11,264.6719982,17.86209603,2.1277,0.99731,0.498288016,1.9946,7648.500834,542.99,39.228,10
d7h12,262.254826,18.0604691,12.766,0.99731,0.543202417,1.3298,7838.765965,379.03,29.919,9
d7h13,278.0103284,19.24324482,9.5745,1.3298,0.587109768,2.6595,8851.201655,561.95,39.56,8
d7h14,276.7730511,19.18151381,4.2553,0.99731,0.632024169,2.3271,8120.603055,649.17,67.485,7
d7h15,284.7174106,19.27699366,1.0638,1.6622,0.677744209,1.9946,9070.350775,410.97,28.922,6
d7h16,278.672963,19.17448326,6.383,1.3298,0.72346425,1.3298,8619.283791,388.63,28.257,5
d7h17,292.5268753,19.70179552,22.34,1.3298,0.768378651,1.9946,9228.916085,420.94,28.257,4
d7h18,292.7866833,20.03958864,12.766,1.3298,0.814300101,2.3271,10311.66607,426.64,30.917,3
d7h19,292.2516809,20.24348648,21.277,1.3298,0.86183283,2.3271,10418.70135,442.3,30.252,2
d7h20,312.3184825,21.95083419,1.0638,1.6622,0.908962739,2.9919,11610.61605,435.18,31.582,1
d7h21,230.7940106,32.58478805,20.213,1.6622,1,0.66488,23176.96709,447.99,30.917,0
d8h1,261.3430946,13.85373702,20.213,1.3298,0.046327684,0.66488,5380.694788,438.03,28.59,18
d8h2,264.8713133,14.57819333,9.5745,0.33244,0.093785311,0.66488,5601.213299,476.47,28.257,17
d8h3,271.665135,14.78282581,4.2553,0.33244,0.139661017,0.33244,5635.246899,485.01,30.252,16
d8h4,271.5069233,14.80775029,18.085,0.66488,0.187118644,1.3298,5821.806235,519.65,31.914,15
d8h5,261.5004498,14.48006265,4.2553,0.66488,0.234576271,0.66488,5821.806235,534.24,33.909,14
d8h6,262.589922,14.63661463,7.4468,0.33244,0.282937853,0.33244,5988.577558,547.37,35.571,13
d8h7,262.8246091,14.81974986,11.702,0.66488,0.330169492,0.33244,5860.989331,542.99,33.576,12
d8h8,255.4483898,14.6164294,1.0638,0.33244,0.378757062,0.33244,5737.053669,561.95,34.574,11
